,dataset,model,algorithm,fold,metric,value
158,HLM,MolBERT,svm,2,R2,0.32121940247095826
159,HLM,MolBERT,svm,3,MAE,0.3500962252407419
160,HLM,MolBERT,svm,3,RMSE,0.44058254977179273
161,HLM,MolBERT,svm,3,R2,0.3778542983503921
162,HLM,MolBERT,svm,4,MAE,0.36773477369676066
163,HLM,MolBERT,svm,4,RMSE,0.4506266907361602
164,HLM,MolBERT,svm,4,R2,0.31220084215432664
165,HLM,MolBERT,random-forest,0,MAE,0.39039012647058036
166,HLM,MolBERT,random-forest,0,RMSE,0.46525900916641805
167,HLM,MolBERT,random-forest,0,R2,0.23909456574043786
168,HLM,MolBERT,random-forest,1,MAE,0.39281693121714284
169,HLM,MolBERT,random-forest,1,RMSE,0.46879357944694733
170,HLM,MolBERT,random-forest,1,R2,0.2511399986167645
171,HLM,MolBERT,random-forest,2,MAE,0.39117641021071586
172,HLM,MolBERT,random-forest,2,RMSE,0.47624400417106527
173,HLM,MolBERT,random-forest,2,R2,0.1973664975001317
174,HLM,MolBERT,random-forest,3,MAE,0.39517452187457
175,HLM,MolBERT,random-forest,3,RMSE,0.4839027750359355
176,HLM,MolBERT,random-forest,3,R2,0.24949472972940823
177,HLM,MolBERT,random-forest,4,MAE,0.4023108549054906
178,HLM,MolBERT,random-forest,4,RMSE,0.4821144847449915
179,HLM,MolBERT,random-forest,4,R2,0.21272189018297405
180,Permeability,ECFP4,linear,0,MAE,2.1014984073379424
181,Permeability,ECFP4,linear,0,RMSE,2.742248291272364
182,Permeability,ECFP4,linear,0,R2,-16.29978425251994
183,Permeability,ECFP4,linear,1,MAE,1.9967914868728625
184,Permeability,ECFP4,linear,1,RMSE,2.523544499111606
185,Permeability,ECFP4,linear,1,R2,-11.164935176658943
186,Permeability,ECFP4,linear,2,MAE,1.7827795030787574
187,Permeability,ECFP4,linear,2,RMSE,2.3162907585663453
188,Permeability,ECFP4,linear,2,R2,-11.037463692802662
