,dataset,model,algorithm,fold,metric,value
256,Permeability,MolFormer,random-forest,0,RMSE,0.5851380831408046
257,Permeability,MolFormer,random-forest,0,R2,0.2690616684732646
258,Permeability,MolFormer,random-forest,1,MAE,0.47099542781420856
259,Permeability,MolFormer,random-forest,1,RMSE,0.5648803441066751
260,Permeability,MolFormer,random-forest,1,R2,0.32481287496116673
261,Permeability,MolFormer,random-forest,2,MAE,0.5050261191700388
262,Permeability,MolFormer,random-forest,2,RMSE,0.6155564992913803
263,Permeability,MolFormer,random-forest,2,R2,0.2730082992616303
264,Permeability,MolFormer,random-forest,3,MAE,0.4654432326443295
265,Permeability,MolFormer,random-forest,3,RMSE,0.5549619133729635
266,Permeability,MolFormer,random-forest,3,R2,0.2910134874254645
267,Permeability,MolFormer,random-forest,4,MAE,0.48481722804314564
268,Permeability,MolFormer,random-forest,4,RMSE,0.5903678978276328
269,Permeability,MolFormer,random-forest,4,R2,0.2451261436409916
270,Permeability,PhysChem,linear,0,MAE,0.384135094701284
271,Permeability,PhysChem,linear,0,RMSE,0.49260531064173596
272,Permeability,PhysChem,linear,0,R2,0.48196132094644495
273,Permeability,PhysChem,linear,1,MAE,0.37226180960834965
274,Permeability,PhysChem,linear,1,RMSE,0.49970803052570995
275,Permeability,PhysChem,linear,1,R2,0.4716230254986905
276,Permeability,PhysChem,linear,2,MAE,0.41581280212812977
277,Permeability,PhysChem,linear,2,RMSE,0.5701505945509788
278,Permeability,PhysChem,linear,2,R2,0.3763042655485074
279,Permeability,PhysChem,linear,3,MAE,0.38282001338004634
280,Permeability,PhysChem,linear,3,RMSE,0.5158789012554154
281,Permeability,PhysChem,linear,3,R2,0.3873574620260213
282,Permeability,PhysChem,linear,4,MAE,0.4246133615048765
283,Permeability,PhysChem,linear,4,RMSE,0.5647509514660849
284,Permeability,PhysChem,linear,4,R2,0.30921506263750176
285,Permeability,PhysChem,svm,0,MAE,0.37224612586226336
286,Permeability,PhysChem,svm,0,RMSE,0.47547219327189405
287,Permeability,PhysChem,svm,0,R2,0.5173700653066515
288,Permeability,PhysChem,svm,1,MAE,0.35525894180916284
289,Permeability,PhysChem,svm,1,RMSE,0.4581920681577113
