,objective,dataset,algorithm,da,train_size,fold,metric,value
172,mtr,Solubility,linear,No DA,30,3,RMSE,0.8348828571438647
173,mtr,Solubility,linear,No DA,30,3,R2,-0.327495214798293
174,mtr,Solubility,linear,No DA,60,3,MAE,0.6335127052087207
175,mtr,Solubility,linear,No DA,60,3,RMSE,0.8771807189451444
176,mtr,Solubility,linear,No DA,60,3,R2,-0.4654129696327742
177,mtr,Solubility,linear,No DA,100,3,MAE,0.6357870205684879
178,mtr,Solubility,linear,No DA,100,3,RMSE,0.8547935890376198
179,mtr,Solubility,linear,No DA,100,3,R2,-0.3915678596363976
180,mtr,Solubility,linear,MLM,0,3,MAE,0.6387338764543885
181,mtr,Solubility,linear,MLM,0,3,RMSE,0.8336979677287238
182,mtr,Solubility,linear,MLM,0,3,R2,-0.3237298509793411
183,mtr,Solubility,linear,CL,0,3,MAE,0.6633942157449123
184,mtr,Solubility,linear,CL,0,3,RMSE,0.8454393488367519
185,mtr,Solubility,linear,CL,0,3,R2,-0.3612778912612882
186,mtr,Solubility,linear,MTR,0,3,MAE,0.6685743496783926
187,mtr,Solubility,linear,MTR,0,3,RMSE,0.8803218548009208
188,mtr,Solubility,linear,MTR,0,3,R2,-0.4759268871807389
189,mtr,Solubility,linear,No DA,0,4,MAE,0.6633900067432257
190,mtr,Solubility,linear,No DA,0,4,RMSE,0.8495340496941538
191,mtr,Solubility,linear,No DA,0,4,R2,-0.6271143012546496
192,mtr,Solubility,linear,No DA,30,4,MAE,0.6257025655350986
193,mtr,Solubility,linear,No DA,30,4,RMSE,0.9419543696633064
194,mtr,Solubility,linear,No DA,30,4,R2,-1.000397080189575
195,mtr,Solubility,linear,No DA,60,4,MAE,0.6090438491122142
196,mtr,Solubility,linear,No DA,60,4,RMSE,0.8238112199130916
197,mtr,Solubility,linear,No DA,60,4,R2,-0.5300720672403352
198,mtr,Solubility,linear,No DA,100,4,MAE,0.6316794436910176
199,mtr,Solubility,linear,No DA,100,4,RMSE,0.8289241183580445
200,mtr,Solubility,linear,No DA,100,4,R2,-0.5491234701356213
201,mtr,Solubility,linear,MLM,0,4,MAE,0.6295198203465096
202,mtr,Solubility,linear,MLM,0,4,RMSE,0.8213271202731686
203,mtr,Solubility,linear,MLM,0,4,R2,-0.5208584977147674
204,mtr,Solubility,linear,CL,0,4,MAE,0.6155292306157588
