,objective,dataset,algorithm,da,train_size,fold,metric,value
160,mtr,Solubility,linear,MLM,0,2,RMSE,0.8307826312323059
161,mtr,Solubility,linear,MLM,0,2,R2,-0.5227579863435909
162,mtr,Solubility,linear,CL,0,2,MAE,0.6240566911957107
163,mtr,Solubility,linear,CL,0,2,RMSE,0.8024301740344145
164,mtr,Solubility,linear,CL,0,2,R2,-0.4205959480957408
165,mtr,Solubility,linear,MTR,0,2,MAE,0.6093629810461606
166,mtr,Solubility,linear,MTR,0,2,RMSE,0.7815434293838575
167,mtr,Solubility,linear,MTR,0,2,R2,-0.3476040316631781
168,mtr,Solubility,linear,No DA,0,3,MAE,0.6297176644882307
169,mtr,Solubility,linear,No DA,0,3,RMSE,0.8115335113430847
170,mtr,Solubility,linear,No DA,0,3,R2,-0.2801826914183862
171,mtr,Solubility,linear,No DA,30,3,MAE,0.5709790985644245
172,mtr,Solubility,linear,No DA,30,3,RMSE,0.7795855697956654
173,mtr,Solubility,linear,No DA,30,3,R2,-0.1813718494965939
174,mtr,Solubility,linear,No DA,60,3,MAE,0.5608176311314936
175,mtr,Solubility,linear,No DA,60,3,RMSE,0.7707302019320771
176,mtr,Solubility,linear,No DA,60,3,R2,-0.1546857066184843
177,mtr,Solubility,linear,No DA,100,3,MAE,0.5863035660447993
178,mtr,Solubility,linear,No DA,100,3,RMSE,0.7778396861368821
179,mtr,Solubility,linear,No DA,100,3,R2,-0.1760864046198629
180,mtr,Solubility,linear,MLM,0,3,MAE,0.6468541796469907
181,mtr,Solubility,linear,MLM,0,3,RMSE,0.8492162868127769
182,mtr,Solubility,linear,MLM,0,3,R2,-0.4018310142195724
183,mtr,Solubility,linear,CL,0,3,MAE,0.6208507214067698
184,mtr,Solubility,linear,CL,0,3,RMSE,0.820891493483219
185,mtr,Solubility,linear,CL,0,3,R2,-0.3098770866796658
186,mtr,Solubility,linear,MTR,0,3,MAE,0.6294126462924471
187,mtr,Solubility,linear,MTR,0,3,RMSE,0.8237112569337983
188,mtr,Solubility,linear,MTR,0,3,R2,-0.3188914015478192
189,mtr,Solubility,linear,No DA,0,4,MAE,0.6609081842212632
190,mtr,Solubility,linear,No DA,0,4,RMSE,0.8509897016710055
191,mtr,Solubility,linear,No DA,0,4,R2,-0.5346312569521792
192,mtr,Solubility,linear,No DA,30,4,MAE,0.5819227808508618
193,mtr,Solubility,linear,No DA,30,4,RMSE,0.8858149744963528
194,mtr,Solubility,linear,No DA,30,4,R2,-0.6628055520785066
195,mtr,Solubility,linear,No DA,60,4,MAE,0.565548711851435
196,mtr,Solubility,linear,No DA,60,4,RMSE,0.7567460800464273
197,mtr,Solubility,linear,No DA,60,4,R2,-0.2135447355403816
198,mtr,Solubility,linear,No DA,100,4,MAE,0.5554770890129423
199,mtr,Solubility,linear,No DA,100,4,RMSE,0.7319901393864195
200,mtr,Solubility,linear,No DA,100,4,R2,-0.1354444506498235
201,mtr,Solubility,linear,MLM,0,4,MAE,0.6303780761463808
202,mtr,Solubility,linear,MLM,0,4,RMSE,0.8036342094287731
203,mtr,Solubility,linear,MLM,0,4,R2,-0.3685865324374597
204,mtr,Solubility,linear,CL,0,4,MAE,0.5768031713270216
205,mtr,Solubility,linear,CL,0,4,RMSE,0.7434667928784973
206,mtr,Solubility,linear,CL,0,4,R2,-0.1713281523112415
207,mtr,Solubility,linear,MTR,0,4,MAE,0.5830869763096145
208,mtr,Solubility,linear,MTR,0,4,RMSE,0.7852097025816034
209,mtr,Solubility,linear,MTR,0,4,R2,-0.3065521394248747
210,mtr,Solubility,random-forest,No DA,0,0,MAE,0.5245421285028965
211,mtr,Solubility,random-forest,No DA,0,0,RMSE,0.6720062834254036
212,mtr,Solubility,random-forest,No DA,0,0,R2,0.0674891127302491
213,mtr,Solubility,random-forest,No DA,30,0,MAE,0.4305375971235862
214,mtr,Solubility,random-forest,No DA,30,0,RMSE,0.5790222193931135
215,mtr,Solubility,random-forest,No DA,30,0,R2,0.3076946262829226
216,mtr,Solubility,random-forest,No DA,60,0,MAE,0.4255834995626436
217,mtr,Solubility,random-forest,No DA,60,0,RMSE,0.5755194954519999
218,mtr,Solubility,random-forest,No DA,60,0,R2,0.3160453243849369
219,mtr,Solubility,random-forest,No DA,100,0,MAE,0.4225403184357011
220,mtr,Solubility,random-forest,No DA,100,0,RMSE,0.5763915998862291
221,mtr,Solubility,random-forest,No DA,100,0,R2,0.3139709138971459
222,mtr,Solubility,random-forest,MLM,0,0,MAE,0.5061174038976323
223,mtr,Solubility,random-forest,MLM,0,0,RMSE,0.6749801862734283
224,mtr,Solubility,random-forest,MLM,0,0,R2,0.0592173655236616
225,mtr,Solubility,random-forest,CL,0,0,MAE,0.4997756992282299
226,mtr,Solubility,random-forest,CL,0,0,RMSE,0.6635178672248289
